decibels	sensor_id	longitude	lattitude	timestamp	81	244	406	569	732	895	1057	1220	1383	1546	1708	1871	2034	2197	2359	2522	datetime
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	time
																					class
44.94109	0.0	14.497768042229504	46.18749776136103	1601476087.0	42150.57	14929.44	4371.549	5892.951	2738.229	3229.108	2919.225	1855.578	2171.532	2829.927	1978.499	1198.529	1229.031	1360.115	1301.177	840.9083	1601483287.0
47.33088	0.0	14.497768042229504	46.18749776136103	1601476086.0	72243.2	8428.168	2743.566	2824.831	1956.229	4593.971	1446.591	2801.857	3328.484	5467.089	2985.097	2506.657	2720.6	1950.18	1674.348	2558.104	1601483286.0
45.06805	0.0	14.497768042229504	46.18749776136103	1601476085.0	58366.98	10107.9	3835.566	2248.968	2507.413	2550.126	2479.388	2499.813	1463.054	2054.352	1394.733	1892.63	1255.891	1720.742	1426.847	1264.275	1601483285.0
44.36929	0.0	14.497768042229504	46.18749776136103	1601476084.0	19261.01	11206.96	7039.311	2873.975	2535.087	2845.429	1751.444	2647.549	2328.907	1408.037	1198.011	1565.398	1379.909	1450.167	1649.121	1717.227	1601483284.0
48.40848	0.0	14.497768042229504	46.18749776136103	1601476083.0	70094.67	13220.04	4684.093	4220.525	2010.114	2576.406	3492.401	2896.371	1868.957	3794.069	1582.263	2523.351	2282.703	1602.948	2113.676	3461.379	1601483283.0
48.6721	0.0	14.497768042229504	46.18749776136103	1601476082.0	60600.2	7317.831	2570.935	3154.126	3811.848	2873.207	3653.907	2375.481	2926.723	1532.432	1945.792	1727.468	1260.52	1227.433	1420.646	1357.128	1601483282.0
45.61525	0.0	14.497768042229504	46.18749776136103	1601476081.0	15832.85	14350.97	8199.641	2764.517	2075.456	2419.665	3017.166	1726.666	3210.563	1805.135	1271.028	1815.023	1854.11	938.2917	1192.099	1113.188	1601483281.0
45.92229	0.0	14.497768042229504	46.18749776136103	1601476080.0	23415.17	18050.1	3137.577	3405.572	3321.915	4774.263	4200.462	1777.567	3688.807	2539.454	2497.013	1337.126	1089.176	1039.615	1248.654	1183.251	1601483280.0
46.15988	0.0	14.497768042229504	46.18749776136103	1601476079.0	57485.79	20659.13	3771.169	2508.783	2059.504	2826.851	1470.941	2159.427	2156.351	2384.895	2101.957	1185.275	1575.19	1248.354	1362.143	1360.128	1601483279.0
44.05343	0.0	14.497768042229504	46.18749776136103	1601476078.0	52861.45	8835.066	3833.674	1439.714	2505.935	2757.55	2318.404	1917.583	3369.398	3583.25	2617.607	2379.032	1287.006	1485.455	809.0092	1723.755	1601483278.0
42.79305	0.0	14.497768042229504	46.18749776136103	1601476077.0	29886.54	6770.205	3450.209	2257.244	2202.505	2623.885	1183.329	1675.297	2253.921	2806.481	1572.912	1431.688	1450.848	1187.906	1728.237	884.4898	1601483277.0
45.93921	0.0	14.497768042229504	46.18749776136103	1601476076.0	47879.23	11148.98	7726.274	2567.76	3955.159	1770.111	2202.116	2490.861	1879.382	2145.925	1118.893	1801.631	1764.533	1777.824	1168.227	1481.178	1601483276.0
55.22478	0.0	14.497768042229504	46.18749776136103	1601476075.0	59170.04	99027.55	44778.45	22509.54	6208.613	6630.045	4138.864	3407.065	3956.553	7198.222	2528.234	2042.578	3416.579	4759.044	4280.907	4045.7	1601483275.0
53.59385	0.0	14.497768042229504	46.18749776136103	1601476074.0	40973.97	82612.18	45062.39	18000.63	13108.93	8328.545	6434.71	7075.998	4482.552	4315.699	4100.512	3245.058	4629.048	3814.644	3153.091	3490.147	1601483274.0
53.09464	0.0	14.497768042229504	46.18749776136103	1601476073.0	59209.96	67534.65	47432.27	18858.95	7239.926	6827.178	3938.865	4239.666	3901.167	2683.225	5071.776	1843.227	3258.576	2631.98	3403.627	2609.364	1601483273.0
53.49521	0.0	14.497768042229504	46.18749776136103	1601476072.0	40893.64	61257.14	44777.06	11502.94	24641.97	4440.59	5031.873	5296.724	2407.904	2561.357	3452.904	2378.583	2991.711	2453.919	2639.018	3661.958	1601483272.0
53.11817	0.0	14.497768042229504	46.18749776136103	1601476071.0	51393.02	63152.44	42792.21	42859.18	13363.57	7982.692	5665.26	5453.176	4911.136	3610.427	2087.583	2884.63	3414.042	2110.848	3128.864	4090.072	1601483271.0
