datetime	sensor_0	sensor_1	sensor_2
time	continuous	continuous	continuous
	class	class	class
1601483214.0	62.22919	55.09748	80.95153
1601483213.0	62.1895	55.33476	85.19264
1601483212.0	64.59639	57.26192	89.01629
1601483211.0	65.79649	56.27281	88.86424
1601483210.0	63.41016	56.95282	87.71601
1601483209.0	64.86944	58.38495	90.33017
1601483208.0	63.89287	56.13139	90.78539
1601483207.0	66.97871	58.27733	86.32553
1601483206.0	62.50699	55.27864	81.49945
1601483205.0	67.52129	58.92849	77.37705
1601483204.0	68.20552	56.26423	75.22883
1601483203.0	66.34395	56.59973	76.12144
1601483202.0	63.7729	57.83678	77.1083
1601483201.0	64.26771	56.51903	79.26781
1601483200.0	62.21337	53.98227	82.62019
1601483199.0	63.81465	56.68796	91.09072
1601483198.0	65.34082	57.91164	86.91843
1601483197.0	66.92476	61.08419	86.08959
1601483196.0	65.45708	58.36816	84.78907
1601483195.0	60.74616	55.52904	82.09009
1601483194.0	63.79011	55.41866	80.89097
1601483193.0	62.5311	55.00043	80.89723
1601483192.0	62.22182	55.29565	78.43058
1601483191.0	62.52182	55.28639	76.20773
1601483190.0	60.37033	54.29516	75.69284
1601483189.0	60.10276	53.91978	76.0216
1601483188.0	63.21844	54.11355	71.34664
1601483187.0	62.32916	54.59579	73.08872
1601483186.0	60.06327	55.32423	75.31495
1601483185.0	61.67005	54.35563	74.50308
1601483184.0	62.80629	55.59382	79.17001
1601483183.0	63.48818	56.29535	80.50517
1601483182.0	63.31994	55.47446	79.76001
1601483181.0	63.95746	55.88382	77.47449
1601483180.0	64.82328	57.38	79.76376
1601483179.0	65.55567	57.95744	79.17079
1601483178.0	63.77059	57.14616	78.65417
1601483177.0	63.2559	56.61726	76.52629
1601483176.0	66.51785	57.27539	77.54758
1601483175.0	62.00196	57.21286	74.80164
1601483174.0	65.28546	58.61349	78.74992
1601483173.0	64.39518	59.30827	79.10925
1601483172.0	63.38787	58.91375	78.07427
1601483171.0	61.4029	58.15166	79.58532
1601483170.0	64.95071	57.50494	78.75272
